Documento,Representacion vectorial,Caracteristicas extraidas,Elemento de comparacion,Similaridad
"bailarina coreógrafa japonés Natsu Nakajima , discípular Kazuo Ohno Tatsumi Hijikata , morir domingo pasado 80 año Ciudad México , informar Dirección Danza Universidad Nacional Autónoma México ( UNAM ) . 18 marzo cumplir 81 año .",frecuencia,unigrama,contenido,0.0
"hacer 97 año , 6 marzo , nacer escritor periodista colombiano Gabriel García Márquez , artífice realismo mágico , poner América Latina imaginario millón lector solo palabra : Macondo .",frecuencia,unigrama,contenido,0.0
"edición 45 Feria Internacional Libro Palacio Minería ( FILPM ) concluir asistencia 111 mil 239 visitante presupuesto 12 millón pesos , informar director , Fernando Macotela . agregar estar llegar “ curva ascendente ” reforzar serie adecuación .",frecuencia,unigrama,contenido,0.0
"Madrid . poco antes morir , Gabriel García Márquez sentenciar historia haber estar trabajar último año vida : “ libro no servir . haber destruir él ” . hablar agosto ver , novela inédito finalmente ver luz presentar martes Instituto Cervantes Madrid , acto tener repercusión mundial través nuevo tecnología , , , enorme interés seguir suscitar obra figura Gabo .",frecuencia,unigrama,contenido,0.0
"banco dar conocer Nuñez , también ser parte Consejo Administración Getnet , ser líder unidad digital salir año .",frecuencia,unigrama,contenido,0.0
"reporte trimestral Banco México ( Banxico ) , Junta Gobierno dejar ver haber ajuste tasa marzo , rendimiento instrumento ajustar .",frecuencia,unigrama,contenido,0.0
"generación empleo , considerar primero dos mes año , ser 265.424 puesto .",frecuencia,unigrama,contenido,0.0
"medio rural mujer asumir mucho más tarea doméstico cuidado persona , limitar oportunidad estudio empleo , señalar organización informe .",frecuencia,unigrama,contenido,0.0
SAT contar guía presentar informe anual empresa pago Impuesto Renta ( ISR ) .,frecuencia,unigrama,contenido,0.0
"Índice multimillonario agencia Bloomberg , fortuna Bezos ascender 200.000 mdd , superar 198.000 mdd dueño Tesla .",frecuencia,unigrama,contenido,0.0
"objetivo ir línea expansión PIB año pasado , 5.2% , situar lejos dinámico ritmo crecimiento economía chino año 1990 2000 .",frecuencia,unigrama,contenido,0.0
"casi cinco mes paso huracán , aseguradora haber indemnizar más 200 embarcación costo promedio individual 4.3 millón pesos .",frecuencia,unigrama,contenido,0.0
así poder restablecer cuenta Instagram olvidastir contraseña . enseñar recuperar él correo número celular .,frecuencia,unigrama,contenido,0.0
no robir cuenta existir opción activar segundo capa seguridad . hazlo paso paso .,frecuencia,unigrama,contenido,0.0
Facebook señalar existir opción recuperación contraseño evitser pérdida información .,frecuencia,unigrama,contenido,0.0
"usuario reportar sesión aplicación cerrar manera repentino , carga Instagram ser lento .",frecuencia,unigrama,contenido,0.0
compañía sueco haber ser encargada crear red privado empresa éxito .,frecuencia,unigrama,contenido,0.0
"nuevo funcionalidad plataforma filtra dirección IP usuario , poner riesgo seguridad línea .",frecuencia,unigrama,contenido,0.0
"“ problema técnico ” provocar caída mundial Facebook Instagram primero hora ayer , confirmar directivo Meta , conglomerado empresa tecnología pertenecer ambos red social .",frecuencia,unigrama,contenido,0.0
"población mexicano crecer último vez 2051 . luego año nacimiento llegada migrant país no compensar defunción salida residente , acuerdo proyección Comisión Económica América Latina Caribe ( Cepal ) .",frecuencia,unigrama,contenido,0.0
"principal obstáculo lograr igualdad género 2030 ser “ alarmante falta financiamiento ” , existir “ abrumador déficit anual 360 mil millón dólares ” , medida global destinado alcanzar meta .",frecuencia,unigrama,contenido,0.0
"década declarar América Móvil agente preponderante , participación mercado haber reducir alrededor 10 punto porcentual , compañía sector seguir poder competir , reportar consultora mexicano The Competitive Intelligence Unit ( The CIU ) .",frecuencia,unigrama,contenido,0.0
"Londres . bitcóin alcanzar máximo histórico martes , impulsado inversor inyectar dinero criptoproducto cotizado contado Estados Unidos perspectiva tasa interés mundial poder bajar . mayor criptomoneda mundo alcanzar máximo 69 mil 202 dólares , superar récord histórico 68 mil 999.99 dólares noviembre 2021 .",frecuencia,unigrama,contenido,0.0
"pese mujer generar riqueza ser elemento indispensable aumentar competitividad país , principal problema exclusión mercado laboral estar relacionado factor asociado estereotipo papel tradicional género .",frecuencia,unigrama,contenido,0.0
"luego realizar importación agroalimentario récord , 2023 México convertir principal comprador grano Estados Unidos mandar China segundo posición , revelar información Departamento Agricultura Estados Unidos ( USDA , sigla inglés ) .",frecuencia,unigrama,contenido,0.0
peso lograr sostener él debajo línea 17 dólar spot – mejor nivel inicio 2024 – segundo jornada consecutivo .,frecuencia,unigrama,contenido,0.0
,frecuencia,unigrama,contenido,0.0
"falta perspectiva género diseño política fiscal fortalecer desigualdad hombre mujer América Latina , afirmar especialista organización Fundar .",frecuencia,unigrama,contenido,0
"analista sector financiero consultado Citibanamex esperar mes Banco México ( BdeM ) hacer recorte cuarto punto porcentual tasa referencia , instrumento marcar costo financiar empresa familia , actualmente encontrar 11.25 ciento .",frecuencia,unigrama,contenido,0.0
"Habana . Cuba apagar casi tres cuarta parte alumbrado público hora mayor consumo hacer frente creciente escasez energía , reportar martes medio estatal , crisis económico ser vez más profundo isla .",frecuencia,unigrama,contenido,0.0
"selección mexicano tener cuenta pendiente Liga Naciones Concacaf . disputar primero vez 2019 , Tricolor haber quedar deriva . ser título seguir exhibir él vitrina . Gerardo Martino Diego Cocca poder ganar él entrenador . situación poder cambiar Jaime Lozano 21 marzo México enfrentar Panamá pase final .",frecuencia,unigrama,contenido,0.0
Miami . mexicano Jaime Jáquez Jr . finalizar 11 punto triunfo Heat Miami ( 118-110 ) Pistones Detroit .,frecuencia,unigrama,contenido,0.0
"mente español Pedro López , técnico selección mexicano femenil , no existir escenario más final título Copa Oro W. llegar ahí , jugadora deber salir victoriosa Brasil , potencia mundial categoría rival semifinal torneo . ambiente ser inmejorable concentración mexicana . luego avanzar Paraguay fase anterior , López considerar estar frente mayor prueba demostrar crecimiento no ser obra casualidad .",frecuencia,unigrama,contenido,0.0
"Diablos Rojos perder primero duelo semifinal Liga Mexicana Softbol femenil . Charros Jalisco pegar 6-3 escarlata , poner él 1-0 .",frecuencia,unigrama,contenido,0.0
definir dentro semana Liga Campeones Concacaf .,frecuencia,unigrama,contenido,0.0
"San Sebastián . Kylian Mbappé no ir extrañar París Saint-Germain decidir partir club . parisino , cambio , sí echar menos francés no estar liquidar partido definitorio , suscitar ayer Champions Real Sociedad ( 2-1 ) .",frecuencia,unigrama,contenido,0.0
"París . total 180 barco , 94 transportar deportista , desfilar río Sena París parte ceremonia inauguración Juegos Olímpicos 2024 , 26 julio , detallar prefecto región Ile-de-France , Marc Guillaume .",frecuencia,unigrama,contenido,0.0
"pasado 26 febrero , Gabriela Agúndez fin respirar alivio . convertir él manera oficial seleccionado olímpico quitar peso encima clavadista , partir entonces desechar inquietud mente concentrar él lleno preparación .",frecuencia,unigrama,contenido,0.0
"unanimidad , Senado República aprobar ayer reforma Ley Federal Trabajo ( LFT ) encaminado avanzar igualdad salarial deporte profesional , establecimiento salario base hombre muje-r respeto pleno derecho laboral futbolista , boxeado-ras , luchador integrante disciplina , no poder ser discriminar hostigada .",frecuencia,unigrama,contenido,0.0
"futbol profesional existir amplio brecha salarial hombre mujer . acuerdo sitio especializado Salary Sport , delantero francés Tigres , André-Pierre Gignac , percibir alrededor 5 millón dólares anual , sueldo promedio jugadora Liga Mx Femenil ser 8 mil 12 mil pesos mensual . excepción , mayoría aún deber pagar renta , comida nutriólogo profesional falta respaldo cabal club . Comisión Federal Competencia Económica sancionar 2021 FMF promover brecha salarial género .",frecuencia,unigrama,contenido,0.0
"Madrid . homínido organización fabricar herramienta piedra ocupar este Asia hacer 1.1 millón año , 300 mil antes hacha mano más antiguo hallado región .",frecuencia,unigrama,contenido,0.0
"Houston . luego dos año riguroso entrenamiento , 10 estadunidens convertir forma oficial astronauta martes ahora ser elegibl misión NASA Estación Espacial Internacional ( EEI ) , Luna , ir bien , Marte .",frecuencia,unigrama,contenido,0.0
"Washington . Científicos crear miniorga yo partir célula flotar líquido rodear feto útero , avance considerar poder abrir nuevo área medicina prenatal .",frecuencia,unigrama,contenido,0.0
"legado periodístico literario Javier Valdez seguir vigente año ser obligar lectura texto México bárbaro incendiado , sostener Griselda Triana , compañera vida corresponsal Jornada asesinado mayo 2017 .",frecuencia,unigrama,contenido,0.0
"primero tres año ser puntual día , noche cama mañana baño , tregua sagrado regla parto . ambos ver tiempo amenaza rutina , poner él acuerdo decidir sumar él amor grano aventura . época soler ir motel lance , tanto más refinado mala muerte , noche hotel ser asaltar mano armado dejar puro cuero . ser inspiración tanto imprevista acostumbrar llevar preservativo cartera evitar sorpresa . descubrir azar marca llevar impreso anuncio publicidad : Next Time Buy Lutecian . así ser inaugurar largo época amor llevar premio frase feliz , procaz sentencia Séneca .",frecuencia,unigrama,contenido,0.0
"Monterrey , NL . , emblemático edificio albergar maderería Victoria , construido 1945 dentro tendencia arquitectónico art decó tardío , empezar ser restaurar ser convertir Casa Libro Monterrey , 60 año abandono .",frecuencia,unigrama,contenido,0.03401085119257179
"Tijuana , BC . , Compañía Nacional Teatro llegar pasado fin semana Tijuana – parte descentralización – Diccionario , primero actriz Luisa Huertas dar vida María Moliner ; Daniel Giménez Cacho , gancho abarrotar Centro Cultural Tijuana ( Cecut ) charla “ profesión actor ” puesta escena ¡ Violencia ! , coproducción Centro Cultural Helénico .",frecuencia,unigrama,contenido,0.0
,frecuencia,unigrama,contenido,0.0
"Nueva York . japonés Riken Yamamoto ganar premio Pritzker 2024 , considerado Nobel arquitectura , informar organización responsable distinción comunicado elogiir estilo tranquilizador ” .",frecuencia,unigrama,contenido,0
"poeta indígén Margarita León ( Santiago Anaya , Hidalgo , 1982 ) sufrir experiencia aterrador ser niña : muerte madre parto décimo hijo . Margarita , entonces 9 año , querer recitar poema rendir él homenaje festival Día Madres , enmudeceír frente asistente .",frecuencia,unigrama,contenido,0.0
"“ rodilla , rosal ” , aconsejar padre podar texto hija adolescente , ya madre abuela platicacer . “ rodilla ” , entender , ser rosal , cosa equivocado : ser deber ser jardinero . Suena cruel , ser , nada más , práctico . rosal , rosal , decir , florecer así mucho mejor . anécdota , Monterrey .",frecuencia,unigrama,contenido,0.0
"lanzamiento novela póstuma Gabriel García Márquez ( 1927- 2014 ) , agosto ver , llegar hoy librería concordancia cumpleaños autor colombiano , haber convertir fenómeno venta : Amazon coloca segundo libro más vendido México .",frecuencia,unigrama,contenido,0.0
"Madrid . multitudinario rueda prensa Instituto Cervantes Madrid , acudir 50 periodista más 180 seguir transmisión Internet , hijo Gabriel García Márquez rememorar último día padre , dictar fiel secretario , Monica Alonso , corrección postrer obra literario , dejar inconclús dispersa cinco manuscrito .",frecuencia,unigrama,contenido,0.0
"medio disputa comercio grano , subsecretario Agricultura mexicano decir haber ciencia probar herbicida glifosato ser dañino salud humano .",frecuencia,unigrama,contenido,0.0
"tener buen ingreso retiro ser gran desafío generación más joven ; embargo , mujer ser aún más , debido dificultad adicional enfrentar .",frecuencia,unigrama,contenido,0.0
Fitch institución Sofipos fintech tener capacidad financiamiento menos diversificado .,frecuencia,unigrama,contenido,0.0
"conocer ser salario promedio Puebla nivel calidad vida considerar aspecto industria , actividad , movilidad empleo .",frecuencia,unigrama,contenido,0.0
""" economía evolucionar general esperar , seguramente ser apropiar comenzar flexibilizar política ( monetario ) punto año "" , asegurar presidente Reserva Federal .",frecuencia,unigrama,contenido,0.0
"consumidor mexicano percibir mejora condición económico hogar país , mejorar disposición consumo durabl . disminuir confianza futuro cercano .",frecuencia,unigrama,contenido,0.0
"Gane ganar , reto estar analizar presupuesto público gastar concepto redituabl economía , además generar más ingreso considerar reforma tributario .",frecuencia,unigrama,contenido,0.0
fundador empresa señalar multimillonario buscar OpenAI fusionar Tesla partir ahí convertir él director ejecutivo .,frecuencia,unigrama,contenido,0.0
actriz presentadoro Ana Sáenz unir proyecto conductora oficial ¡ Haz Match ! charlar celebridad pareja historia Tinder .,frecuencia,unigrama,contenido,0.0
"viajero nacional estar buscar destino menos turístico , idea ser explorar nuevo pueblito ciudad .",frecuencia,unigrama,contenido,0.0
empresa japonés abrir showroom Ciudad México objetivo mostrar diferente categoría producto impulsar creación artístico .,frecuencia,unigrama,contenido,0.0
,frecuencia,unigrama,contenido,0.0
"febrero , preámbulo campaña electoral , Indicador Confianza Consumidor ( ICC ) ubicar 47.01 punto , quinto mejor registro iniciar serie hacer más dos década . dato representar ligero baja respecto enero , medición dar resultado punto ; comparativo anual tener avance 2.4 punto , reportar Instituto Nacional Estadística Geografía ( Inegi ) .",frecuencia,unigrama,contenido,0
"cuello botella registrar industria automotriz mexicano debido interrupción cadena suministro nivel mundial haber ir desfogar . febrero , producción aumentar 7.76 ciento tasa anual venta unidad extranjero repuntar 22.62 ciento , consignó Instituto Nacional Estadística Geografía ( Inegi ) .",frecuencia,unigrama,contenido,0.025976216673306553
"pese desfase política monetario México Estados Unidos , hacer disminuir corto plazo diferencial tasa interés ambos economía , México seguir ser atractivo inversionista internacional , ahí fortaleza moneda nacional , estar mejor nivel inicio año .",frecuencia,unigrama,contenido,0.0
"migrant ser catalizador economía , acción contribuir aumento exportación , inversión extranjero directo ( IED ) productividad , asegurar Violetta Kuzmova , titular área Desarrollo Sostenible Migración Organización Internacional Migraciones ( OIM ) .",frecuencia,unigrama,contenido,0.0
"pese tener menos confianza hora elegir inversión , mujer soler superar rentabilidad cartera capital hombre , ya ser disciplinar , tener menos probabilidad cambiar perfil riesgo medio volatilidad , documentar arriesgar acuerdo objetivo , evidenciar UBS Women and Investing .",frecuencia,unigrama,contenido,0.0
"presidente francés Emmanuel Macrón , decir desdecir él , proponer conferencia apoyo Ucrania ( París , 26 /1/24 ) frente 27 líder ministro UE OTAN , enviar tropa terrestre campo batalla ucranio , sabiendas generar intensificación bélico , rechazo generalizado luego recular mantener hostilidad rusofóbico . enviar tropa zona conflicto ser provocación orden mayor Rusia .",frecuencia,unigrama,contenido,0.028676966733820218
"primero bimestre año , dos cada 10 auto vendido México ser importar China , señalar conferencia Cristina Vázquez , coordinadora Estudios Económicos Asociación Mexicana Distribuidores Automotores ( AMDA ) .",frecuencia,unigrama,contenido,0.0
"participación mujer mercado laboral mexicano ser más bajo América Latina , hecho influenciado factor social cultural limitar incorporación actividad económico aunado falta política público , dar conocer Citibanamex .",frecuencia,unigrama,contenido,0.0
"gobierno mexicano recuperar capacidad Aeropuerto Internacional Ciudad México ( AICM ) manera gradual haber realizar estudio implicar construcción dos nuevo terminal próximo 10 año atender demanda actual futuro instalación , contexto “ terminal 1 2 acercar final vida útil ” , informar Secretaría Infraestructura , Comunicaciones Transportes ( SICT ) .",frecuencia,unigrama,contenido,0.0
"valor exportación café México caer 28 ciento 2023 comparación año previo , revelar dato oficial . anterior pesar contexto mayor cotización internacional afectación cosecha fenómeno climático adverso .",frecuencia,unigrama,contenido,0.0
,frecuencia,unigrama,contenido,0.0
"Berlín . veces producto sólo diferenciar diseño tamaño envase , pensado público femenino masculino , ser alemana pagar más .",frecuencia,unigrama,contenido,0
"Pekín . objetivo crecimiento PIB China alrededor 5 ciento 2024 ser alcanzable “ arduo trabajo ” , afirmar miércoles Zheng Shanjie , director Comisión Nacional Desarrollo Reforma , explicar principal acción gubernamental restablecer economía año .",frecuencia,unigrama,contenido,0.0
"Berlín . dos instituto investigación alemán recortar ayer previsión crecimiento 2024 , último golpe mayor economía zona euro .",frecuencia,unigrama,contenido,0.0
,frecuencia,unigrama,contenido,0.0
"Ángeles . anfitriona Estados Unidos derrotar ayer Canadá 3-1 tanda penal empatar 2-2 tiempo reglamentario , medir Brasil final primero edición Copa Oro futbol femenino .",frecuencia,unigrama,contenido,0
"Madrid . Fiscalía español acusar técnico Real Madrid , Carlo Ancelotti , supuesto fraude fiscal decir utilizar empresa pantalla ocultar parte ingreso primero etapa club hacer más uno década .",frecuencia,unigrama,contenido,0.04335549847620599
"Barcelona . ministerio Trabajo España enviar acta infracción Real Federación Española Futbol ( RFEF ) falta protocolo acoso ex dirigente organismo deportivo Luis Rubiales dar beso no consensuado Jennifer Hermoso . además , sancionar junto Barcelona no tener plan igualdad , poder desembocar multa 7 mil 500 euros .",frecuencia,unigrama,contenido,0.0
"Washington . Franz Wagner anotar 28 punto , Paolo Banchero añadir 25 Magic Orlando remontar déficit 21 unidad segundo cuarto vencer miércoles 119-109 Wizards Washington , sufrir derrota 16 consecutivo .",frecuencia,unigrama,contenido,0.0
Charros Jalisco vencer manera cardiaco Diablos Rojos femenil pizarra 11-10 ayer juego ser extrainning .,frecuencia,unigrama,contenido,0.0
"París . sorpresa , Real Madrid Manchester City cumplir vuelta octavo final Liga Campeones Leipzig ( 1-1 ) Copenhague ( 3-1 ) , respectivamente , unir nombre París Saint-Germain Bayern Múnich cuarto final , momento , figurar grande escuadra futbol europeo .",frecuencia,unigrama,contenido,0.0
"Chihuahua , Chih . , jugador cuerpo técnico Chihuahua Futbol Club anunciar continuidad equipo Liga Premier Mx ser “ insostenible ” . abandonar plantel regresar lugar origen , derivado dueño franquicia , Carlos Lazo Reyes , permanecer prófu-go justicia presunto fraude más mil millón pesos realizar través empresa apuesta deportivo Yox Holding .",frecuencia,unigrama,contenido,0.0
"24.1 millón televidente , México convertir país mayor seguimiento Supertazón 58 después Estados Unidos ; incremento importante tomar cuenta 2023 audiencia ser 20.7 millón .",frecuencia,unigrama,contenido,0.0
"América poner pie cuarto final Copa Campeones Concacaf golear 3-0 Chivas , quedar jugador menos mayor parte segundo tiempo miércoles partido ida octavo final , disputado estadio Akron .",frecuencia,unigrama,contenido,0.0
"haber esperanza , apagar 10 minuto . selección femenil mexicana futbol vislumbrar éxito caer ayer 3-0 Brasil desplegar potencial miramiento alcanzar final Copa Oro W. expulsión error zaga sentenciar tricolor , perder invicto Pedro López después 23 juego .",frecuencia,unigrama,contenido,0.03993615319154358
"Noemí Monroy , abogada especializado asunto deportivo promotora iniciativa establecer salario base deporte profesional , indicar esperar igual empatía respaldo parte diputado ser votar cambio profundo proyecto decretir ley tiempo aproximado dos mes , evitar retraso elección .",frecuencia,unigrama,contenido,0.0
"eclips , más allá atraer atención niño adulto , dar lugar mito inspirar literato , “ ser herramienta proporcionar naturaleza conocer él mejor ” , afirmar Luis Felipe Rodríguez Jorge . observación haber ampliar conocimiento movimiento cuerpo sistema solar , descubrir helio comprobar teoría relatividad , así Tierra rotar vez más lentamente .",frecuencia,unigrama,contenido,0.03458572319330373
"aniversario 97 nacimiento escritor Gabriel García Márquez , Cámara Diputados recordar premio Nobel Literatura 1982 “ maestro literatura universal ” ponderar “ genialidad contribución patrimonio cultural humanidad ” .",frecuencia,unigrama,contenido,0.0
"Moscú . novela póstuma Gabriel García Márquez , agosto ver , salir ayer luz Rusia , confirmar grupo editorial AST .",frecuencia,unigrama,contenido,0.0
"San Salvador , Hgo . , parte actividad impulsar interés vecino comunidad indígena elaboración mural art plástico , ser develar pasado 1º marzo mural Hermanamiento raíz corazón América , localidad otomí Rodrigo , municipio San Salvador , Hidalgo .",frecuencia,unigrama,contenido,0.0
"historiador Tomás Pérez Vejo , libro nación doliente : Imágenes profanas historia sagrado ( Instituto Nacional Antropología Historia , 2024 ) , relatar partir siglo xix dejar contar pintura México historia nacimiento , muerte resurrección Cristo narrar historia nacimiento , muerte resurrección nación mexicano .",frecuencia,unigrama,contenido,0.0
"Cristina Hoyos , flamenca flamenquería catalán , magia magia , vestir futbolista equipo Barcelona , parte , , , Puma universitario . marco Camp nou , no caber ni mosca más , vibrar instante aprisionar pase ritmo furia español futbolero tornado rumba flamenco , vibrante esconder amor pintor aragonés . ¡ Goya , goyo !",frecuencia,unigrama,contenido,0.0
"más artefacto ocultar rostro representar más , fotógrafo Víctor Benítez entender máscara concepto metáfora identidad , tema haber encaminar gran parte interés propuesta creativo .",frecuencia,unigrama,contenido,0.0
"Preservar cultura , “ parte ser venir ” , así poner alto nombre México lugar origen , San Pedro Jicayán , ser razón migrant municipio zona costero Oaxaca , radicado Santa Ana , California , decidir organizar primero Carnaval Indígena Costeño ciudad Estados Unidos .",frecuencia,unigrama,contenido,0.0
"admiración escritor Gabriel García Márquez ( 1927-2014 ) continuar México . ayer , joven lector mostrar embebido Metro lectura emblemático novela amor tiempo cólera . preguntar él conocer texto inédito agosto ver , expresar deseo obtener él cuanto antes ” .",frecuencia,unigrama,contenido,0.0
"Madrid . “ tratar él novela Gabriel García Márquez , más aún , libro inédito póstumo , haber expectativa . haber notar primero día salir venta . sólo primero hora haber vender más 100 ejemplar , margen gente haber estar preguntar último día novela ” , relatar responsable librería más importante Madrid , Central , mañana cambiar escaparate situar lugar privilegiado ejemplar agosto ver , publicar España editorial Random House , México Centroamérica hacer editorial Diana , Grupo Planeta .",frecuencia,unigrama,contenido,0.033113308926626096
"economista jefe Citi América Latina , Ernesto Revilla , destacar siguiente gobierno deber también dar prioridad finanza Pemex .",frecuencia,unigrama,contenido,0.0
"estar superar "" histórico "" cifra año anterior , decir Rogelio Ramírez O.",frecuencia,unigrama,contenido,0.0
"jornada semanal trabajo hogar no remunerado ser más extenso mujer , promedio 32 hora , hombre ser solo 14 hora , decir Coneval .",frecuencia,unigrama,contenido,0.0
"pepino , gas LP cebolla ser producto más subir precio febrero , acuerdo Inegi .",frecuencia,unigrama,contenido,0.0
"agencia calificadoro destacar crecimiento empleo bajo costo operación modelo digital , necesidad relocalización , favorecer largo plazo banco .",frecuencia,unigrama,contenido,0.0
""" creer estar lugar correcto "" , decir presidente Reserva Federal Comisión Banca Senado .",frecuencia,unigrama,contenido,0.0
incertidumbre económico alza tasa interés estar considerado principal razón declive .,frecuencia,unigrama,contenido,0.0
comercio exterior haber ser factor clave crecimiento económico China último década haber generar gran cantidad empleo sector manufacturero .,frecuencia,unigrama,contenido,0.0
"CEO Citigroup destacar , pesar hacer división banco Banamex Citi México , confiar liderazgo reconfiguración cadena suministro .",frecuencia,unigrama,contenido,0.0
"brecha salarial tarea cuidado perjudicar retiro mujer , advertir grupo financiero suizo UBS .",frecuencia,unigrama,contenido,0.0
"saldo rojo comercio bien servicio resto mundo alcanzar 67.400 millón dólares primero mes año , aumento 5.1% respecto diciembre pasado .",frecuencia,unigrama,contenido,0.0
inflación subyacente también mostrar incremento más lento observado último mes . gas LP gasolina sufrir mayor aumento precio mes pasado .,frecuencia,unigrama,contenido,0.0
"acuerdo cifra oficial , año pasado ingresar 4.817 mdd nuevo inversión , cifra apenas representar 13% total IED ; 2022 flujo ser equivalente 50% .",frecuencia,unigrama,contenido,0.0
normativa tener objeto garantizar grande tecnológico comportir manera equitativo línea .,frecuencia,unigrama,contenido,0.0
"ser tendencia empresa estar impulsar , vez haber más opción mercado usuario conocer .",frecuencia,unigrama,contenido,0.0
"valor exportación México Estados Unidos comenzar año nivel precedente , confirmar posición país principal proveedor socio comercial mayor potencia económico mundo , revelar dato oficial nación divulgado ayer .",frecuencia,unigrama,contenido,0.0
"política fiscal impulsado actual administración haber buscar “ salvaguardar estabilidad macroeconómico mantener deuda trayectoria estable ; compromiso mantener último año gobierno hacer corresponder transición suave ordenado ” , enfatizar Rogelio Ramírez O , titular Secretaría Hacienda Crédito Público ( SHCP ) .",frecuencia,unigrama,contenido,0.0
"Juriquilla , Qro . , industria seguro fianza , así bien raíz , ser más “ noble ” México mujer alcanzar independencia económico , igualdad equidad percepción .",frecuencia,unigrama,contenido,0.03539961627023943
"ser evidente   notable incorporación progresivo mujer cargo representación político ejercicio gobierno . no ir tanto lejos : silla presidencial tener año mujer ocupante , primero vez , general sostener proporción paritario candidatura no tanto , también , gabinetes .",frecuencia,unigrama,contenido,0.0
"Concluyo hoy   serie estrategia superación pobreza ( ESP ) América Latina Caribe ( ALyC ) propuesto PNUD 1990 , esperanza Claudia Sheinbaum ( CS ) apropiir mejor aplique gobierno . Dimensión género . “ perspectiva género no considerar aisladamente mujer , concibe vulnerable ” , empezar señalar DSP continuar : “ Cuestiona , cambio , relación hombre mujer constituir problemática género deber restructurar fondo facilitar construcción sociedad más equitativo dimensión género , más justo más humano . punto partida ESP ser reconocimiento mujer pobre formar parte no sólo estrato social carenciado , también género subordinado oprimido ” . DSP sugerir repensar concepto económico básico luz visión integral sociedad comprender ámbito privado hogar . “ primero lugar , señalar DSP , deber redefinir él trabajo doméstico no remunerado trabajo productivo incluir él cuenta nacional estadística laboral . segundo lugar , deber redefinir él concepto hogar , eliminar dos supuesto falso : equidad interno hogar miembro participar toma decisión ” . DSP distinguir dos nivel intervención . primero implicación restructuración relación género largo plazo : nuevo opción relación laboral , legislación , responsabilidad tarea doméstico , abolición división género trabajo ( hombre tarea remunerada , mujer sólo doméstica reproductiva ) ; mujer controlir sexualidad capacidad reproductivo , eliminar coerción violencia masculino . segundo relacionar acción práctico implicación más inmediato , orientado satisfacer requerimiento guardería servicio comunitario . derecho trabajo no reconciliar fácilmente reproducción . guardería jornada completo ser ya indispensable . guardería , ser público , poder tener efecto sinérgico importante , además cuidado , proporcionar alimento subsidiado poder estimular organización autónomo madre . concluir así texto dimensión género DSP : “ hogar mujer percibir / controlar ingreso familiar lograr mayor bienestar ingreso , reforzar importancia liberar traba incorporación duplicar jornada trabajo . ”",frecuencia,unigrama,contenido,0.05973476910894989
"motivo consorcio estadunidense Citigroup comprar Banco Nacional México ( Banamex ) , ser tener banco ofrecer servicio financiero empresario nacional internacional maximizar oportunidad inversión país , “ haber cumplir ” , afirmar directivo institución financiero .",frecuencia,unigrama,contenido,0.0
"46.8 millón persona vivir situación pobreza extremo México , 53 ciento ser mujer , resaltar jueves Organización Naciones Unidas ( ONU ) encuentro representante iniciativa privado gobierno señalar urgencia invertir medida destinado equidad género .",frecuencia,unigrama,contenido,0.0
Suprema Corte Justicia Nación ( SCJN ) poder poner punto final juicio promovido tope máximo 0.57 ciento comisión hoy cobrar Afore trabajador administrar ahorro retiro .,frecuencia,unigrama,contenido,0.0
"economía mexicano estar vivir momento mayor atractivo mercado internacional ; parte desempeño tanto beneficio estar absorber relocalización cadena suministro nivel mundial . “ no recordar haber tener percepción tanto positivo México ahora ” , destacar Nathan Sheets , economista jefe Citi .",frecuencia,unigrama,contenido,0.0
,frecuencia,unigrama,contenido,0.0
"experimentar aumento tres mes seguido , inflación febrero ser 0.09 ciento , menor avance más tres año , reportar Instituto Nacional Estadística Geografía ( Inegi ) . tasa anual ser 4.4 ciento ; ambos medición resultar debajo previsto analista .",frecuencia,unigrama,contenido,0
"Juriquilla , Qro . , paracetamol llegar costar 30 vez más hospital privado farmacia esquina , paciente seguro gasto médico prescribir tres cuatro fármaco , sólo antibiótico ser indispensable , situación .",frecuencia,unigrama,contenido,0.0
"apenas nacer hijo poder volver gimnasio , Yazmín Jáuregui colgar hombro pañalera biberón regresar trabajo . haber sortear transporte público condición climático Tijuana bebé brazo . más difícil momento ser supervivencia diario sustento económico estable . joven ser promesa local art marcial mixto hoy ser parte elenco empresa internacional UFC , espectáculo deportivo mayor crecimiento mundo .",frecuencia,unigrama,contenido,0.0
"maternidad poder frenar impulsar carrera deportis-ta profesional . caso multimedallista paralímpico Amalia Pérez ocurrir segundo , pese embarazar ser mucho criticar atleta alto rendimiento tener hijo .",frecuencia,unigrama,contenido,0.0
"silbante Katia Itzel García convertir segundo mujer dirigir partido Liga Mx varonil después Comisión Árbitros designó encuentro sábado Pachuca Querétaro , correspondiente jornada 11 torneo Clausura 2024 .",frecuencia,unigrama,contenido,0.0
"Yedá . empleada equipo Red Bull denuncia provocar investigación conducta inapropiado jefe escudería , Christian Horner , ser suspender , informar ayer persona conocimiento medida .",frecuencia,unigrama,contenido,0.0
"reciente Juego Estrellas NBA haber dos persona lanzar tiro línea encestar casi cantidad punto , sólo tres unidad hacer diferencia . escena parecer sencillo , realidad ser histórico romper “ estig-ma fragilidad femenino ” , competidor ser estre-lla basquetbol Stephen Curry Sabrina Ionescu .",frecuencia,unigrama,contenido,0.0
